region,level,quotes,won,lost_expired,open,win_rate,quoted_usd,won_usd,won_margin_usd,last6_quoted_usd,trend_ratio,vendors_150mi,vendors_300mi,nearest_vendor_mi,lost_crm_leads,centroid_lat,centroid_lng,coverage_weakness,loss_factor,gap_score
Colorado (US),state,177,172,1,4,0.994,3075002.0,2907402.0,2659400.0,1132700.0,1.76,0,0,371.0,0.0,39.853,-104.981,1.0,0.05,153.8
Colorado (US) / Denver (802xx),metro,152,147,1,4,0.993,2721236.0,2553636.0,2305635.0,1044093.0,1.87,0,0,373.0,,39.783,-104.967,1.0,0.05,136.1
Georgia (US) / Norman Park (317xx),metro,327,322,0,5,1.0,8046601.0,7961316.0,7961316.0,2625039.0,1.46,0,5,157.0,,31.236,-83.654,0.2857142857142857,0.05,115.0
Texas (US),state,75,74,1,0,0.987,1839126.0,1839126.0,1801851.0,465550.0,1.02,0,0,423.0,0.0,26.553,-97.98,1.0,0.05,92.0
Georgia (US),state,408,402,0,6,1.0,10004132.0,9890267.0,9890267.0,3178837.0,1.4,1,6,145.0,0.0,31.438,-83.46,0.18181818181818182,0.05,90.9
Florida (US),state,36,36,0,0,1.0,1126271.0,1126271.0,1126271.0,362408.0,1.43,0,0,493.0,0.0,26.822,-81.08,1.0,0.05,56.3
Wisconsin (US),state,36,36,0,0,1.0,1083864.0,1083864.0,1083864.0,151954.0,0.49,0,0,,0.0,,,1.0,0.05,54.2
California (US),state,304,297,0,7,1.0,6661204.0,6502377.0,6379516.0,681139.0,0.34,6,6,32.0,0.0,34.613,-119.038,0.07692307692307693,0.05,25.6
Oregon (US),state,17,17,0,0,1.0,503002.0,503002.0,503002.0,8965.0,0.05,0,0,490.0,0.0,45.598,-123.182,1.0,0.05,25.2
Arizona (US),state,26,25,0,1,1.0,1614336.0,1520830.0,1508282.0,108086.0,0.22,0,6,202.0,0.0,32.709,-114.491,0.25,0.05,20.2
California (US) / Moorpark (930xx),metro,222,222,0,0,1.0,4617706.0,4617706.0,4617706.0,-47341.0,-0.03,6,6,17.0,,34.271,-118.909,0.07692307692307693,0.05,17.8
Colorado (US) / Loveland (805xx),metro,25,25,0,0,1.0,353766.0,353766.0,353766.0,88607.0,1.01,0,0,359.0,,40.385,-105.092,1.0,0.05,17.7
New Jersey (US),state,3439,3330,24,85,0.993,38078752.0,35752151.0,30992062.0,11900043.0,1.37,63,74,8.0,4.0,40.602,-74.327,0.007547169811320755,0.05,14.4
Georgia (US) / LYONS (304xx),metro,52,51,0,1,1.0,1625670.0,1597090.0,1597090.0,534812.0,1.48,1,8,135.0,,32.175,-82.323,0.15384615384615385,0.05,12.5
New York (US),state,2608,2524,17,67,0.993,29524945.0,28233108.0,27348023.0,11221541.0,1.85,59,73,5.0,5.0,41.185,-74.04,0.007936507936507936,0.05,11.7
Rhode Island (US),state,11,11,0,0,1.0,169952.0,169952.0,150632.0,60737.0,1.67,0,0,,0.0,,,1.0,0.05,8.5
Mississippi (US),state,1,1,0,0,1.0,166800.0,166800.0,166800.0,166800.0,,0,0,326.0,0.0,31.347,-89.222,1.0,0.05,8.3
Louisiana (US),state,8,8,0,0,1.0,106311.0,106311.0,106311.0,14818.0,0.49,0,0,428.0,0.0,29.961,-90.158,1.0,0.05,5.3
Pennsylvania (US),state,458,429,4,25,0.991,13997256.0,13439985.0,12917348.0,3662112.0,1.07,64,78,5.0,5.0,40.515,-75.478,0.007352941176470588,0.05,5.1
Tennessee (US),state,41,40,0,1,1.0,1014840.0,988380.0,988380.0,26460.0,0.08,4,8,132.0,0.0,35.186,-86.113,0.09090909090909091,0.05,4.6
New Jersey (US) / CLIFTON (070xx),metro,801,781,7,13,0.991,9653922.0,8716278.0,8034787.0,4021721.0,2.15,63,73,2.0,,40.779,-74.178,0.007575757575757576,0.05,3.7
"New York (US) / Middletown, (109xx)",metro,633,609,7,17,0.989,9148366.0,8436930.0,8335969.0,2265810.0,0.99,59,73,17.0,,41.322,-74.249,0.007936507936507936,0.05,3.6
Michigan (US),state,95,92,0,3,1.0,1361210.0,1327710.0,1327710.0,854110.0,5.07,2,33,36.0,2.0,42.617,-83.637,0.04878048780487805,0.05,3.3
Pennsylvania (US) / Warminster (189xx),metro,153,151,0,2,1.0,8784918.0,8784918.0,8364676.0,1532584.0,0.64,64,76,0.0,,40.207,-75.09,0.007407407407407408,0.05,3.3
New York (US) / Wappingers Falls (125xx),metro,289,284,3,2,0.99,7992463.0,7947989.0,7930150.0,5110605.0,5.34,60,73,9.0,,41.592,-73.898,0.00784313725490196,0.05,3.1
Illinois (US),state,130,110,3,17,0.973,2333041.0,1658649.0,1506235.0,1749457.0,9.03,16,30,13.0,0.0,41.662,-88.095,0.025,0.05,2.9
North Carolina (US),state,33,33,0,0,1.0,880575.0,880575.0,880575.0,0.0,0.0,5,15,42.0,1.0,36.122,-80.156,0.0625,0.05,2.8
California (US) / Carson (907xx),metro,35,35,0,0,1.0,697221.0,697221.0,697221.0,0.0,0.0,6,6,12.0,,33.858,-118.255,0.07692307692307693,0.05,2.7
Ohio (US),state,71,67,0,4,1.0,1294087.0,1168544.0,1146179.0,284199.0,0.85,9,30,33.0,0.0,40.123,-82.936,0.03389830508474576,0.05,2.2
New Jersey (US) / Hillside (072xx),metro,681,666,5,10,0.993,5859171.0,5757130.0,3377224.0,1669198.0,1.2,63,73,8.0,,40.696,-74.227,0.007575757575757576,0.05,2.2
Montana (US),state,11,10,0,1,1.0,41541.0,39741.0,39741.0,8337.0,0.76,0,0,,0.0,,,1.0,0.05,2.1
Maryland (US),state,63,57,0,6,1.0,2533632.0,1945250.0,1923387.0,1944859.0,9.95,15,74,25.0,0.0,39.063,-77.153,0.01652892561983471,0.05,2.1
Maryland (US) / Rockville (208xx),metro,56,50,0,6,1.0,2313542.0,1725160.0,1703296.0,1870221.0,12.7,15,74,25.0,,39.087,-77.168,0.01652892561983471,0.05,1.9
Illinois (US) / Chicago (606xx),metro,91,82,3,6,0.965,1585559.0,1321509.0,1175805.0,1119296.0,7.23,17,30,4.0,,41.759,-87.705,0.024096385542168676,0.05,1.9
Nebraska (US),state,4,4,0,0,1.0,160045.0,160045.0,160045.0,0.0,0.0,1,5,130.0,0.0,41.207,-96.061,0.2,0.05,1.6
New York (US) / MASPETH (113xx),metro,538,525,2,11,0.996,3548893.0,3492164.0,3422187.0,963716.0,1.12,61,73,0.0,,40.724,-73.9,0.007751937984496124,0.05,1.4
New York (US) / Brooklyn (112xx),metro,520,494,4,22,0.992,3272286.0,2919454.0,2655503.0,1517903.0,2.61,62,73,1.0,,40.671,-73.963,0.007662835249042145,0.05,1.3
New Jersey (US) / Paterson (075xx),metro,336,327,0,9,1.0,3123623.0,2850754.0,2758336.0,1052767.0,1.53,62,73,5.0,,40.927,-74.164,0.007662835249042145,0.05,1.2
New Jersey (US) / Wayne (074xx),metro,72,67,0,5,1.0,3190784.0,3108841.0,3108841.0,979614.0,1.33,62,73,8.0,,40.948,-74.247,0.007662835249042145,0.05,1.2
Pennsylvania (US) / Moosic (185xx),metro,195,184,1,10,0.995,3136606.0,2956084.0,2853688.0,1372435.0,2.34,60,78,1.0,,41.366,-75.691,0.007692307692307693,0.05,1.2
New Jersey (US) / Vineland (083xx),metro,95,93,1,1,0.989,2465560.0,2451160.0,2385902.0,436560.0,0.65,57,73,38.0,,39.482,-75.009,0.008130081300813009,0.05,1.0
Virginia (US),state,34,34,0,0,1.0,536417.0,536417.0,534895.0,22100.0,0.13,4,38,122.0,0.0,37.487,-77.722,0.038461538461538464,0.05,1.0
New York (US) / Bronx (104xx),metro,219,217,0,2,1.0,2286244.0,2286244.0,2267787.0,222072.0,0.32,61,73,6.0,,40.809,-73.92,0.007751937984496124,0.05,0.9
Georgia (US) / Atlanta (303xx),metro,22,22,0,0,1.0,217336.0,217336.0,217336.0,0.0,0.0,5,8,9.0,,33.741,-84.555,0.08,0.05,0.9
Iowa (US),state,1,0,0,1,,16035.0,0.0,0.0,16035.0,,3,10,80.0,0.0,42.176,-95.001,0.09523809523809523,0.5,0.8
New Jersey (US) / Palmyra (080xx),metro,158,147,1,10,0.993,1995192.0,1686824.0,1614317.0,500046.0,1.01,62,74,16.0,,39.899,-74.957,0.007633587786259542,0.05,0.8
Maine (US),state,5,5,0,0,1.0,60089.0,60089.0,60089.0,32746.0,3.61,0,6,235.0,0.0,45.642,-68.718,0.25,0.05,0.8
Illinois (US) / La Salle (613xx),metro,29,21,0,8,1.0,603356.0,297114.0,290405.0,582033.0,82.19,18,29,47.0,,41.344,-89.096,0.023529411764705882,0.05,0.7
New Jersey (US) / Saddle Brook (076xx),metro,92,88,0,4,1.0,1173466.0,872731.0,848048.0,481583.0,2.1,62,73,5.0,,40.9,-74.091,0.007662835249042145,0.05,0.4
Delaware (US),state,79,79,0,0,1.0,890479.0,890479.0,884848.0,484870.0,3.6,44,70,1.0,0.0,39.177,-75.596,0.00980392156862745,0.05,0.4
Pennsylvania (US) / Du Bois (158xx),metro,29,29,0,0,1.0,416599.0,416599.0,416599.0,53915.0,0.45,10,74,82.0,,41.126,-78.753,0.018867924528301886,0.05,0.4
South Carolina (US),state,2,2,0,0,1.0,77722.0,77722.0,77722.0,0.0,0.0,3,10,78.0,0.0,33.966,-80.936,0.09523809523809523,0.05,0.4
New York (US) / Ozone Park (114xx),metro,112,109,0,3,1.0,946085.0,921655.0,594293.0,534921.0,3.92,61,72,3.0,,40.679,-73.84,0.007782101167315175,0.05,0.4
New Jersey (US) / Cranbury (085xx),metro,110,109,0,1,1.0,899744.0,899744.0,899744.0,9568.0,0.03,63,74,6.0,,40.302,-74.507,0.007547169811320755,0.05,0.3
New Jersey (US) / Freehold (077xx),metro,244,236,0,8,1.0,645182.0,620440.0,612127.0,170839.0,1.08,60,72,18.0,,40.246,-74.277,0.007874015748031496,0.05,0.3
New York (US) / COPIAGUE LIC (117xx),metro,88,88,0,0,1.0,485014.0,485014.0,421619.0,121888.0,1.01,57,72,6.0,,40.687,-73.387,0.00816326530612245,0.05,0.2
New York (US) / Hurleyville (127xx),metro,37,33,1,3,0.971,599148.0,551750.0,529970.0,142155.0,0.94,57,76,32.0,,41.713,-74.623,0.008032128514056224,0.05,0.2
Missouri (US),state,7,7,0,0,1.0,56538.0,56538.0,46538.0,33160.0,4.27,1,23,149.0,0.0,38.75,-90.448,0.07142857142857142,0.05,0.2
New York (US) / Long Island City (111xx),metro,43,42,0,1,1.0,543842.0,531692.0,531692.0,152395.0,1.17,61,73,1.0,,40.745,-73.934,0.007751937984496124,0.05,0.2
Indiana (US),state,2,2,0,0,1.0,66140.0,66140.0,66140.0,45000.0,6.41,16,29,59.0,0.0,40.604,-87.024,0.02531645569620253,0.05,0.1
Connecticut (US),state,10,9,1,0,0.9,66762.0,66762.0,66762.0,27438.0,2.1,60,72,12.0,0.0,41.34,-73.032,0.007874015748031496,0.09999999999999998,0.1
Massachusetts (US),state,4,4,0,0,1.0,98431.0,98431.0,98431.0,0.0,0.0,7,62,54.0,0.0,41.981,-70.245,0.023529411764705882,0.05,0.1
New Jersey (US) / NEWARK (071xx),metro,37,36,1,0,0.973,134895.0,129383.0,-1148328.0,27560.0,0.77,63,73,6.0,,40.713,-74.188,0.007575757575757576,0.05,0.1
Pennsylvania (US) / Easton (180xx),metro,25,24,0,1,1.0,349170.0,310770.0,310770.0,127160.0,1.72,64,77,18.0,,40.694,-75.289,0.007380073800738007,0.05,0.1
New York (US) / Far Rockaway (116xx),metro,56,55,0,1,1.0,189188.0,189188.0,187824.0,12264.0,0.21,61,72,6.0,,40.608,-73.82,0.007782101167315175,0.05,0.1
New Jersey (US) / Lakewood (087xx),metro,63,59,0,4,1.0,195499.0,187998.0,181011.0,59569.0,1.32,61,72,28.0,,40.085,-74.204,0.007782101167315175,0.05,0.1
New Jersey (US) / EDISON (088xx),metro,54,54,0,0,1.0,367529.0,367529.0,358971.0,49691.0,0.47,63,74,4.0,,40.51,-74.412,0.007547169811320755,0.05,0.1
Utah (US),state,1,1,0,0,1.0,21772.0,21772.0,21772.0,21772.0,,4,5,9.0,0.0,40.701,-112.081,0.10526315789473684,0.05,0.1
Kentucky (US),state,2,2,0,0,1.0,5530.0,5530.0,5530.0,0.0,0.0,8,20,81.0,0.0,37.987,-84.179,0.043478260869565216,0.05,0.0
Minnesota (US),state,4,4,0,0,1.0,4526.0,4526.0,4526.0,0.0,0.0,5,12,20.0,0.0,44.843,-93.262,0.06896551724137931,0.05,0.0
New York (US) / East Rockaway (115xx),metro,20,18,0,2,1.0,82208.0,81103.0,81103.0,7158.0,0.29,59,72,12.0,,40.671,-73.664,0.00796812749003984,0.05,0.0
